Thong tin mon hoc
Ma mon,IT4501
Ten mon,Lap Trinh Android
Ghi chu,File mau import diem danh nhieu ngay

Mã sinh viên,Họ và tên,Ngày điểm danh,Giờ điểm danh
SV001,Nguyễn Văn A,24/06/2026,07:03:12
SV002,Trần Thị B,24/06/2026,07:04:25
SV003,Lê Văn C,24/06/2026,07:05:02
SV004,Phạm Thị D,24/06/2026,07:07:45
SV005,Hoàng Văn E,24/06/2026,07:09:10
SV006,Vũ Thị F,24/06/2026,07:10:33
SV007,Đặng Văn G,24/06/2026,07:12:01
SV008,Bùi Thị H,24/06/2026,07:14:22
SV001,Nguyễn Văn A,25/06/2026,07:02:15
SV002,Trần Thị B,25/06/2026,07:05:30
SV004,Phạm Thị D,25/06/2026,07:06:41
SV005,Hoàng Văn E,25/06/2026,07:08:19
SV007,Đặng Văn G,25/06/2026,07:11:52
SV009,Dương Văn I,25/06/2026,07:13:08
SV010,Đinh Thị K,25/06/2026,07:15:44
SV001,Nguyễn Văn A,26/06/2026,07:01:50
SV003,Lê Văn C,26/06/2026,07:04:05
SV004,Phạm Thị D,26/06/2026,07:06:18
SV006,Vũ Thị F,26/06/2026,07:09:37
SV008,Bùi Thị H,26/06/2026,07:12:46
SV010,Đinh Thị K,26/06/2026,07:16:20
SV002,Trần Thị B,29/06/2026,07:03:03
SV003,Lê Văn C,29/06/2026,07:03:58
SV005,Hoàng Văn E,29/06/2026,07:08:21
SV006,Vũ Thị F,29/06/2026,07:10:14
SV007,Đặng Văn G,29/06/2026,07:11:49
SV008,Bùi Thị H,29/06/2026,07:13:33
SV009,Dương Văn I,29/06/2026,07:15:07
SV010,Đinh Thị K,29/06/2026,07:17:52
SV001,Nguyễn Văn A,30/06/2026,07:02:44
SV002,Trần Thị B,30/06/2026,07:04:12
SV003,Lê Văn C,30/06/2026,07:05:26
SV004,Phạm Thị D,30/06/2026,07:07:03
SV005,Hoàng Văn E,30/06/2026,07:09:38
SV006,Vũ Thị F,30/06/2026,07:10:55
SV007,Đặng Văn G,30/06/2026,07:12:11
SV008,Bùi Thị H,30/06/2026,07:14:29
SV009,Dương Văn I,30/06/2026,07:16:04
SV010,Đinh Thị K,30/06/2026,07:18:17
